Место,ФИО,2018,2019,2021,2022,2023,2024,Итог
1,Авдеев Никита,700,750,833,972,0,1100,4355
2,Волков Егор,489,735,918,882,0,0,3024
3,Исаков Евгений,350,0,340,810,950,400,2850
4,Зылев Даниил,0,600,323,522,779,540,2764
5,Павликов Константин,0,225,255,270,703,560,2013
6,Расшиваев Сергей,630,585,0,450,0,320,1985
7,Какурин Эльдар,0,0,0,270,969,540,1779
8,Старков Андрей,0,0,425,522,494,0,1441
9,Николаев Алексей,0,0,680,630,0,0,1310
10,Суворов Алексей,0,0,85,90,494,340,1009
11,Мысовский Сергей,560,435,0,0,0,0,995
12,Яковлев Денис,0,0,0,0,0,940,940
13,Вечканов Игорь,210,375,255,0,0,0,840
14,Багдасарян Максим,0,0,0,0,0,840,840
15,Морозов Антон,0,0,255,270,304,0,829
16,Догадов Денис,210,225,0,0,0,340,775
