Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Исаков Евгений,Калининградская область,1,4400,2024
2,2,Илясов Дмитрий,Санкт-Петербург,1,3800,2024
3,3,Филинов Даниил,Приморский край,1,3000,2024
4,4,Вахрушев Владимир,Санкт-Петербург,2,2400,2024
5,5,Фомин Максим,Московская область,2,2200,2023
6,7,Каптелов Петр,Калининградская область,3,1600,2024
7,9,Крысенков Глеб,Санкт-Петербург,3,1300,2024
8,10,Ременников Константин,Приморский край,5,1300,2024
9,14,Тихонов Андрей,Калининградская область,5,800,2023
10,6,Новожилов Данила,Санкт-Петербург,6,1800,2024
11,8,Копров Павел,Санкт-Петербург,7,1600,2024
