Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Исаков Евгений,Калининградская область,1,3476,2024
2,2,Илясов Дмитрий,Санкт-Петербург,1,2989,2024
3,3,Филинов Даниил,Приморский край,1,2448,2024
4,4,Вахрушев Владимир,Санкт-Петербург,2,2112,2024
5,5,Фомин Максим,Московская область,2,1687,2023
6,6,Каптелов Петр,Калининградская область,3,1398,2024
7,10,Крысенков Глеб,Санкт-Петербург,3,1143,2024
8,9,Ременников Константин,Приморский край,5,1175,2024
9,13,Тихонов Андрей,Калининградская область,5,693,2023
10,8,Новожилов Данила,Санкт-Петербург,6,1351,2024
11,7,Копров Павел,Санкт-Петербург,7,1358,2024
