Rank,Name,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Тихонова (Шаповал),Калининградская область,женщины,1,335,0,295,0,729,900,1000,3259
2,Матвеева Анна,Калининградская область,женщины,1,383,531,0,0,567,810,700,2991
3,Позняк Анна,Москва,женщины,1,0,0,295,729,405,720,500,2649
4,Рудик Майи,Москва,женщины,2,430,0,472,656,0,270,300,2128
5,Второва Елена,Москва,женщины,1,0,0,590,0,810,0,0,1400
6,Вяткина Анна,Сахалинская область,женщины,3,0,0,0,0,0,450,800,1250
7,Степанец Мария,Санкт-Петербург,женщины,3,0,0,0,583,0,0,500,1083
8,Галимова Чулпан,Татарстан,женщины,3,0,0,0,365,648,0,0,1013
9,Чимытова Кристина,Камчатский край,женщины,4,0,0,0,510,405,0,0,915
10,Бланк Мария,Калининградская область,женщины,2,0,0,0,0,0,0,900,900
11,Силютина Алина,Приморский край,женщины,7,0,0,0,0,243,450,0,693
12,Тихолаз Ульяна,Санкт-Петербург,женщины,5,0,0,0,0,405,270,0,675
13,Кузнецова Галина,Приморский край,женщины,4,0,0,0,0,0,630,0,630
14,Пыжова Алена,Санкт-Петербург,женщины,10,0,0,0,0,0,270,300,570
15,Шевчук Елена,Москва,женщины,2,0,0,531,0,0,0,0,531
16,Силивончик Анастасия,Приморский край,женщины,7,0,0,0,0,0,0,500,500
17,Смирнова Вероника,Санкт-Петербург,женщины,8,0,0,0,0,0,0,500,500
18,Кособукина Ирина,Москва,женщины,1,478,0,0,0,0,0,0,478
19,Тиманина Анжелика,Москва,женщины,2,0,478,0,0,0,0,0,478
20,Дыба Екатерина,Камчатский край,женщины,9,0,0,0,219,243,0,0,462
21,Климова Наталья,Калининградская область,женщины,6,0,0,0,0,0,450,0,450
22,Архангельская Екатерина,Москва,женщины,8,0,0,0,0,0,450,0,450
23,Хабкина?,Московская область,женщины,3,0,425,0,0,0,0,0,425
24,Вострикова Екатерина,Москва,женщины,4,0,0,413,0,0,0,0,413
25,Куллен Оксана,Сахалинская область,женщины,8,0,0,0,0,405,0,0,405
26,Дудова,Московская область,женщины,4,0,372,0,0,0,0,0,372
27,Климова Мария,Мурманская область,женщины,11,0,0,0,0,0,270,100,370
28,Кузьмина Полина,Санкт-Петербург,женщины,14,0,0,0,0,0,270,100,370
29,Зикратова Ела,Камчатский край,женщины,6,0,0,0,365,0,0,0,365
30,Куплен Оксана,Сахалинская область,женщины,7,0,0,0,365,0,0,0,365
31,Туринцева Илона,Москва,женщины,8,0,0,0,365,0,0,0,365
32,Морозова Александра,Санкт-Петербург,женщины,9,0,0,0,0,0,0,300,300
33,Кабаргина Кира,Приморский край,женщины,11,0,0,0,0,0,0,300,300
34,Горанько Эвелина,Камчатский край,женщины,12,0,0,0,0,0,0,300,300
35,Данькова Елизавета,Калининградская область,женщины,14,0,0,0,0,0,0,300,300
36,Шабалина Людмила,Санкт-Петербург,женщины,15,0,0,0,0,0,0,300,300
37,Александровская Анна,Мурманская область,женщины,16,0,0,0,0,0,0,300,300
38,Бороденкова Екатерина,Калининградская область,женщины,13,0,0,0,0,0,270,0,270
39,Ходырева Ольга,Приморский край,женщины,9,0,0,0,0,243,0,0,243
40,Зикратова Ёла,Камчатский край,женщины,12,0,0,0,0,243,0,0,243
41,Кутьина Анна,Москва,женщины,10,0,0,0,219,0,0,0,219
42,Дударева Наталья,Алтайский край,женщины,11,0,0,0,219,0,0,0,219
43,Ковалева Анастасия,Приморский край,женщины,18,0,0,0,0,0,0,100,100
44,Ясинская Анна,Приморский край,женщины,19,0,0,0,0,0,0,100,100
45,Герасимова Екатерина,Калининградская область,женщины,20,0,0,0,0,0,0,100,100
46,Горба Мария,Санкт-Петербург,женщины,21,0,0,0,0,0,0,100,100
47,Филипова Галина,Приморский край,женщины,22,0,0,0,0,0,0,100,100
48,Якубовская Нина,Приморский край,женщины,23,0,0,0,0,0,0,100,100
49,Коровина Виктория,Приморский край,женщины,24,0,0,0,0,0,0,100,100
50,Петрова Анна,Приморский край,женщины,26,0,0,0,0,0,0,100,100
