Rank,Name,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Авдеев Никита,Камчатский край,мужчины,1,0,531,590,656,810,0,1000,3587
2,Исаков Евгений,Калининградская область,мужчины,2,430,266,0,219,648,810,300,2673
3,Волков Егор,Санкт-Петербург,мужчины,1,0,372,531,729,729,0,0,2361
4,Зылев Даниил,Москва,мужчины,3,0,0,472,219,405,720,500,2316
5,Расшиваев Сергей,Санкт-Петербург,мужчины,1,478,478,413,219,405,0,300,2293
6,Павликов Константин,Санкт-Петербург,мужчины,4,239,0,177,219,243,630,500,2008
7,Какурин Эльдар,Москва,мужчины,1,239,0,0,0,243,900,500,1882
8,Старков Андрей,Москва,мужчины,6,0,0,0,365,405,450,0,1220
9,Николаев Алексей,Московская область,мужчины,3,0,0,0,583,567,0,0,1150
10,Мысовский Сергей,Санкт-Петербург,мужчины,3,335,425,295,0,0,0,0,1055
11,Вечканов Игорь,Удмуртская Республика,мужчины,5,239,159,295,219,0,0,0,912
12,Суворов Алексей,Приморский край,мужчины,6,0,0,0,73,81,450,300,904
13,Яковлев Денис,Краснодарский край,мужчины,2,0,0,0,0,0,0,900,900
14,Феликиди Георгий,Московская область,мужчины,3,383,0,0,510,0,0,0,893
15,Багдасарян Максим,Калининградская область,мужчины,3,0,0,0,0,0,0,800,800
16,Морозов Антон,Камчатский край,мужчины,10,0,0,0,219,243,270,0,732
17,Новиков Илья,Камчатский край,мужчины,4,0,0,0,0,0,0,700,700
18,Догадов Денис,Краснодарский край,мужчины,15,0,159,177,0,0,0,300,636
19,Теук Константин,Санкт-Петербург,мужчины,5,239,159,177,0,0,0,0,575
20,Петров Владимир,Санкт-Петербург,мужчины,6,0,266,295,0,0,0,0,561
21,Чумаков Андрей,Краснодарский край,мужчины,5,0,0,0,0,0,0,500,500
22,Филинов Даниил,Приморский край,мужчины,7,0,53,0,0,405,0,0,458
23,Поршкий Сергей,Санкт-Петербург,мужчины,5,0,0,0,0,0,450,0,450
24,Синица Петр,Калининградская область,мужчины,7,0,0,0,0,0,450,0,450
25,Иванов Никита,Санкт-Петербург,мужчины,8,0,266,177,0,0,0,0,443
26,Чемодуров Юрий,Сахалинская область,мужчины,13,0,0,0,73,0,270,100,443
27,Марченко Иван,Приморский край,мужчины,14,0,0,0,73,81,270,0,424
28,Илясов Дмитрий,Санкт-Петербург,мужчины,9,143,0,0,0,243,0,0,386
29,Матвеев Арсений,Москва,мужчины,5,0,0,0,365,0,0,0,365
30,Давыдов Артем,Москва,мужчины,7,0,0,0,365,0,0,0,365
31,Любошкин Виктор,Москва,мужчины,8,0,0,0,365,0,0,0,365
32,Богданов Даниил,Калининградская область,мужчины,16,0,0,0,0,81,270,0,351
33,Ременников Константин,Приморский край,мужчины,16,0,0,0,0,243,90,0,333
34,Рогинский Константин,Республика Крым,мужчины,9,143,159,0,0,0,0,0,302
35,Порицкий Сергей,Санкт-Петербург,мужчины,9,0,0,0,0,0,0,300,300
36,Забула Дмитрий,Санкт-Петербург,мужчины,11,0,0,0,0,0,0,300,300
37,Крылов Тимофей,Краснодарский край,мужчины,14,0,0,0,0,0,0,300,300
38,Скуридин Дмитрий,Севастополь,мужчины,16,0,0,0,0,0,0,300,300
39,Ишмухаметов Булат,Москва,мужчины,8,0,0,295,0,0,0,0,295
40,Каптелов Петр,Калининградская область,мужчины,9,0,0,0,0,0,270,0,270
41,Барсуков Сергей,Приморский край,мужчины,10,0,0,0,0,0,270,0,270
42,Рада Николай,Сахалинская область,мужчины,12,0,0,0,0,0,270,0,270
43,Попсуев Сергей,Сахалинская область,мужчины,15,0,0,0,0,0,270,0,270
44,Коротких Владимир,Липецк,мужчины,7,0,266,0,0,0,0,0,266
45,Мустафин Андрей,Красноярский край,мужчины,12,0,0,177,73,0,0,0,250
46,Федосеенко Александр,Приморский край,мужчины,11,0,0,0,0,243,0,0,243
47,Чугаров Юрий,Санкт-Петербург,мужчины,12,0,0,0,0,243,0,0,243
48,Синцов Никита,Москва,мужчины,15,0,0,0,0,243,0,0,243
49,Волосков Михаил,Кировская область,мужчины,13,0,0,0,219,0,0,0,219
50,Гуров Максим,Камчатский край,мужчины,16,0,0,0,219,0,0,0,219
51,Устинов Виктор,Республика Татарстан,мужчины,22,0,0,0,0,0,90,100,190
52,Шуев Николай,Чебоксары,мужчины,13,0,0,177,0,0,0,0,177
53,Мосин Андрей,Москва,мужчины,14,0,0,177,0,0,0,0,177
54,Демин Феликс,Москва,мужчины,16,0,0,177,0,0,0,0,177
55,Бобровский Антон,Санкт-Петербург,мужчины,19,0,0,0,0,81,90,0,171
56,Невский Дмитрий,Москва,мужчины,9,0,159,0,0,0,0,0,159
57,Смелов Илья,Калининградская область,мужчины,11,0,159,0,0,0,0,0,159
58,Ржанников Роман,Санкт-Петербург,мужчины,13,0,159,0,0,0,0,0,159
59,Белоусов Борис,Москва,мужчины,15,0,159,0,0,0,0,0,159
60,Ильин Александр,Краснодарский край,мужчины,17,0,0,59,0,0,0,100,159
61,Ковалевский Василий,Камчатский край,мужчины,19,0,0,0,73,81,0,0,154
62,Иванов,Санкт-Петербург,мужчины,11,143,0,0,0,0,0,0,143
63,Титов,Санкт-Петербург,мужчины,12,143,0,0,0,0,0,0,143
64,Можаев,Пермь,мужчины,13,143,0,0,0,0,0,0,143
65,Камышников,Тула,мужчины,14,143,0,0,0,0,0,0,143
66,Нужный,Сочи,мужчины,15,143,0,0,0,0,0,0,143
