Rank,Name,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Авдеев Никита,Камчатский край,мужчины,1,0,1000,1000,900,1000,0,1000,4900
2,Расшиваев Сергей,Санкт-Петербург,мужчины,1,1000,900,700,300,500,0,300,3700
3,Исаков Евгений,Калининградская область,мужчины,2,900,500,0,300,800,900,300,3700
4,Волков Егор,Санкт-Петербург,мужчины,1,0,700,900,1000,900,0,0,3500
5,Зылев Даниил,Москва,мужчины,3,0,0,800,300,500,800,500,2900
6,Павликов Константин,Санкт-Петербург,мужчины,4,500,0,300,300,300,700,500,2600
7,Какурин Эльдар,Москва,мужчины,1,500,0,0,0,300,1000,500,2300
8,Мысовский Сергей,Санкт-Петербург,мужчины,3,700,800,500,0,0,0,0,2000
9,Вечканов Игорь,Удмуртская Республика,мужчины,5,500,300,500,300,0,0,0,1600
10,Николаев Алексей,Московская область,мужчины,3,0,0,0,800,700,0,0,1500
11,Феликиди Георгий,Московская область,мужчины,3,800,0,0,700,0,0,0,1500
12,Старков Андрей,Москва,мужчины,6,0,0,0,500,500,500,0,1500
13,Теук Константин,Санкт-Петербург,мужчины,5,500,300,300,0,0,0,0,1100
14,Суворов Алексей,Приморский край,мужчины,6,0,0,0,100,100,500,300,1000
15,Петров Владимир,Санкт-Петербург,мужчины,6,0,500,500,0,0,0,0,1000
16,Яковлев Денис,Краснодарский край,мужчины,2,0,0,0,0,0,0,900,900
17,Морозов Антон,Камчатский край,мужчины,10,0,0,0,300,300,300,0,900
18,Догадов Денис,Краснодарский край,мужчины,15,0,300,300,0,0,0,300,900
19,Багдасарян Максим,Калининградская область,мужчины,3,0,0,0,0,0,0,800,800
20,Иванов Никита,Санкт-Петербург,мужчины,8,0,500,300,0,0,0,0,800
21,Новиков Илья,Камчатский край,мужчины,4,0,0,0,0,0,0,700,700
22,Филинов Даниил,Приморский край,мужчины,7,0,100,0,0,500,0,0,600
23,Илясов Дмитрий,Санкт-Петербург,мужчины,9,300,0,0,0,300,0,0,600
24,Рогинский Константин,Республика Крым,мужчины,9,300,300,0,0,0,0,0,600
25,Чумаков Андрей,Краснодарский край,мужчины,5,0,0,0,0,0,0,500,500
26,Поршкий Сергей,Санкт-Петербург,мужчины,5,0,0,0,0,0,500,0,500
27,Матвеев Арсений,Москва,мужчины,5,0,0,0,500,0,0,0,500
28,Синица Петр,Калининградская область,мужчины,7,0,0,0,0,0,500,0,500
29,Давыдов Артем,Москва,мужчины,7,0,0,0,500,0,0,0,500
30,Коротких Владимир,Липецк,мужчины,7,0,500,0,0,0,0,0,500
31,Любошкин Виктор,Москва,мужчины,8,0,0,0,500,0,0,0,500
32,Ишмухаметов Булат,Москва,мужчины,8,0,0,500,0,0,0,0,500
33,Чемодуров Юрий,Сахалинская область,мужчины,13,0,0,0,100,0,300,100,500
34,Марченко Иван,Приморский край,мужчины,14,0,0,0,100,100,300,0,500
35,Мустафин Андрей,Красноярский край,мужчины,12,0,0,300,100,0,0,0,400
36,Ременников Константин,Приморский край,мужчины,16,0,0,0,0,300,100,0,400
37,Богданов Даниил,Калининградская область,мужчины,16,0,0,0,0,100,300,0,400
38,Порицкий Сергей,Санкт-Петербург,мужчины,9,0,0,0,0,0,0,300,300
39,Каптелов Петр,Калининградская область,мужчины,9,0,0,0,0,0,300,0,300
40,Невский Дмитрий,Москва,мужчины,9,0,300,0,0,0,0,0,300
41,Барсуков Сергей,Приморский край,мужчины,10,0,0,0,0,0,300,0,300
42,Забула Дмитрий,Санкт-Петербург,мужчины,11,0,0,0,0,0,0,300,300
