Место,ФИО,2018,2019,2021,2022,2023,2024,Итог
1,Авдеев Никита,700.0,750.0,871.25,967.5,0.0,1100.0,4388.75
2,Исаков Евгений,560.0,0.0,595.0,900.0,997.5,650.0,3702.5
3,Зылев Даниил,0.0,675.0,488.75,742.5,864.5,775.0,3545.75
4,Волков Егор,595.0,768.75,913.75,922.5,0.0,0.0,3200.0
5,Павликов Константин,0.0,450.0,467.5,360.0,831.25,700.0,2808.75
6,Расшиваев Сергей,665.0,693.75,0.0,720.0,0.0,460.0,2538.75
7,Какурин Эльдар,0.0,0.0,0.0,315.0,959.5,725.0,1999.5
8,Старков Андрей,0.0,0.0,637.5,652.5,627.0,0.0,1917.0
9,Николаев Алексей,0.0,0.0,765.0,765.0,0.0,0.0,1530.0
10,Суворов Алексей,0.0,0.0,170.0,180.0,722.0,425.0,1497.0
11,Вечканов Игорь,385.0,600.0,382.5,0.0,0.0,0.0,1367.5
12,Мысовский Сергей,630.0,618.75,0.0,0.0,0.0,0.0,1248.75
13,Морозов Антон,0.0,0.0,255.0,495.0,484.5,0.0,1234.5
14,Петров Владимир,525.0,525.0,0.0,0.0,0.0,0.0,1050.0
15,Яковлев Денис,0.0,0.0,0.0,0.0,0.0,975.0,975.0
16,Багдасарян Максим,0.0,0.0,0.0,0.0,0.0,925.0,925.0
