Wildcard Rank,Name,Region,Real Rank,Best Place,Last Year,Total Points
1,Авдеев Никита,Камчатский край,1,1,2024,4900
2,Расшиваев Сергей,Санкт-Петербург,2,1,2024,3700
3,Волков Егор,Санкт-Петербург,4,1,2024,3500
4,Какурин Эльдар,Москва,7,1,2024,2300
5,Исаков Евгений,Калининградская область,3,2,2024,3700
6,Яковлев Денис,Краснодарский край,16,2,2024,900
7,Зылев Даниил,Москва,5,3,2024,2900
8,Мысовский Сергей,Санкт-Петербург,8,3,2024,2000
9,Николаев Алексей,Московская область,10,3,2024,1500
10,Феликиди Георгий,Московская область,11,3,2024,1500
11,Багдасарян Максим,Калининградская область,19,3,2024,800
12,Павликов Константин,Санкт-Петербург,6,4,2024,2600
13,Новиков Илья,Камчатский край,21,4,2024,700
